string,municipaly
Franziskanerkirche Hall in Tirol,Hall in Tirol
Trauermesse in der Thierbergkapelle,Kufstein
Absam und Friedhof Hall,Hall in Tirol
Vill,Innsbruck
Mutterhaus Zams,Zams
Leiblfing,Pettnau
Perjen-Landeck,Landeck
Mils bei Hall,Mils
Hall - Mils,Mils
Pfarrkirche Hall,Hall in Tirol
Imst/Fiss,Fiss
Thiersee - Landl,Thiersee
Innsbruck - Hötting,Innsbruck
Fließ-Urgen,Fließ
Marienkirche,Innsbruck
Pfarrkirche Neu-Rum,Rum
Samnaun-Compatsch,SKIP
Pradl,Innsbruck
Kufstein - Stadtfriedhof,Kufstein
Telfs - Prutz,Prutz
Friedhof Söll,Söll
Pf.  Schutzengelkirche,Innsbruck
FH Thum,Innsbruck
Evangelische Christuskirche,Innsbruck
Pf. Petrus Canisius,Innsbruck
Völs-Holzgau,Völs
Hinterriss,Vomp
Wiltener Basilika,Innsbruck
Zirl - Ötz,Zirl
Pf. Kranebitten,Innsbruck
Städtischer Westfriedhof,Innsbruck
Fließ-Kaltenbrunn,Fließ
PFK Lans,Lans
Innsbruck-Mariahilf,Innsbruck
Schönwies-Starkenbach,Schönwies
PFK Alt-Pradl,Innsbruck
Kirche Hall-Schönegg,Hall in Tirol
Kirche Neu-Rum,Rum
Feichten,Kaunertal
Innsbruck - Zell am See,Innsbruck
PFK Imst,Imst
Arzl i. P./Zams,Zams
Landeck - Pians,Pians
Innsbruck-Westfriedhof,Innsbruck
Kematen - Sellrain,Kematen in Tirol
Hl. Familie,Innsbruck
Heiligkreuz bei Hall,Hall in Tirol
Fr,Innsbruck
Pfarrkirche Arzl,Innsbruck
Dom zu St. Jakob - Innsbruck,Innsbruck
Schönwies -Starkenbach,Schönwies
Bruck am Ziller / Landeck,Bruck am Ziller
FH Hötting,Innsbruck
Pf. Heilige Familie,Innsbruck
PFK Hötting NEU,Innsbruck
Innsbruck-Saggen,Innsbruck
Mutters-Ausserkreith,Mutters
Königreichssaal Hall,Hall in Tirol
Kaltenbrunn - Kaunertal,Kaunertal
FH Hötting ALT,Innsbruck
Pf. Rum,Rum
Kufstein Stadtfriedhof,Kufstein
Innsbruck-Hötting,Innsbruck
Hall i. T.,Hall in Tirol
Pfarrkirche St. Nikolaus,Innsbruck
Friedhof Hu00f6tting,Innsbruck
Kauns/Kufstein,Kauns
Flaurling - Innsbruck,Innsbruck
Pfarrkirche Igls,Innsbruck
Ainet/Osttirol,Lienz
Innsbruck–Wilten,Innsbruck
Götzens-Westfriedhof,Innsbruck
Sagritz/Kärnten,SKIP
Pradler Ostfriedhof,Innsbruck
Friedhof Mariahilf,Innsbruck
Pfarrkirche Mariahilf,Innsbruck
Pf. Igls,Innsbruck
Innsbruck Krematorium,Innsbruck
Mariahilfer Friedhof,Innsbruck
Wattens Marienkirche,Wattens
Kufstein-Kleinholz,Kufstein
Innsbruck–Mariahilf,Innsbruck
Pfk. Pradl,Innsbruck
Basilika / Friedhof Wilten,Innsbruck
Mühlau,Innsbruck
Unterleutasch,Leutasch
Hu00f6ttinger Friedhof,Innsbruck
Innsbruck/ Landeck,Innsbruck
Zams / Bludenz,Zams
Unterperfuss-Kematen,Innsbruck
FH Seefeld,Seefeld in Tirol
Leiblfing - Barwies,Pettnau
Leiblfing-Barwies,Pettnau
PFK Mühlau,Innsbruck
Wilten-West Kirche,Innsbruck
PFK Volders,Volders
Pfarrkirche Rum,Rum
PFK Aldrans,Innsbruck
Wien / Landeck,Landeck
Reith Im Alpbachtal,Reith im Alpbachtal
Nothburgaheim,Innsbruck
Friedhof St. Nikolaus,Innsbruck
Pf. Amras,Innsbruck
Pfarrkirche Amras,Innsbruck
Canisiuskirche Innsbruck West,Innsbruck
Rinn - Götzens,Götzens
FH Arzl,Innsbruck
Gerlo,Schwaz
Militärfriedhof Innsbruck,Innsbruck
Pfarrkirche Hu00f6tting,Innsbruck
Friedhof Wilten,Innsbruck
Absam und Hall in Tirol,Hall in Tirol
Pf. Kematen,Kematen in Tirol
Pfarrkirche Patsch,Innsbruck
Pfarrkirche Saggen,Innsbruck
Grins - Kappl,Kappl
Niederaudorf (Bayern),Kufstein
Niederthai - Umhausen,Umhausen
Innsbruck - Allerheiligen,Innsbruck
Zams - Bad Ischl,Zams
Innsbruck-St. Nikolaus,Innsbruck
Pfarrkirche Mu00fcnster,Innsbruck
Mieming/Barwies,Mieming
Falterschein-Zams,Zams
Innsbruck–Westfriedhof / Leutasch,Innsbruck
FH Völs,Völs
Unterperfuss/ Kematen,Kematen in Tirol
Pfk. Mu00fchlau,Innsbruck
Reith b. Seefeld / Innsbruck,Seefeld in Tirol
Mühlau-Mutters,Mutters
Schutzengelkirche Neu Pradl,Innsbruck
Pfarrkirche Mu00fchlau,Innsbruck
evang. Christuskirche,Innsbruck
Pfarrkirche Fulpmes,Fulpmes
FH Lans,Lans
Innsbruck - Guter Hirte,Innsbruck
Fließ/Eichholz,Fließ
Pfarrkirche Maria am Gestade,Innsbruck
Einsegnungshalle des Pradler Friedhofs,Innsbruck
Hall i.Tirol,Hall in Tirol
FH Hötting NEU,Innsbruck
Prutz - Faggen,Prutz
Pradl - St. Pius X,Innsbruck
Pfarrkirche St. Norbert,Innsbruck
Pf. Hötting Alt,Innsbruck
Pfarrkirche Mils,Mils
Sosúa/Fließ,Fließ
Bichlbach/ Innsbruck,Innsbruck
Landesfriedhof Mariahilf,Innsbruck
PFK Völs,Völs
FH Amras,Innsbruck
FH Fieberbrunn,Fieberbrunn
Innsbruck_Westfriedhof,Innsbruck
Zams - Mutterhaus,Zams
Hötting Kirchenfriedhof,Innsbruck
Landeck/Fließ,Fließ
Friedhof Mühlau,Innsbruck
PFK Neu Pradl,Innsbruck
Neu Rum,Rum
Auferstehungskirche  Neu Rum,Rum
Leutasch-Zirl,Leutasch
Pfarrkirche St. Pirmin,Innsbruck
Innsbruck-Alter Militärfriedhof,Innsbruck
Oberaudorf,Kufstein
Mühlheim-D,Landeck
Pertisau,Schwaz
Innsbruck Wilten,Innsbruck
Zirl/ Völs,Völs
Kysucky Lieskovec - Slowakei,Landeck
Arzl - Innsbruck,Innsbruck
Grinzens - Steinach,Grinzens
Pradl-Natters,Natters
Völs/ Innsbruck Pradl,Völs
FH Hall,Hall in Tirol
Canada - Tösens,Tösens
Hall,Hall in Tirol
FH St. Peter/Klagenfurt,Innsbruck
PFK MUTTERS,Mutters
Prutz / Ried i. O.,Ried im Oberinntal
im Familienkreis,Innsbruck
Kematen/ Telfs,Kematen in Tirol
Friedhof Pradl Innsbruck,Innsbruck
Alte Höttinger Kirche,Innsbruck
Stu00e4dtischer Westfriedhof,Innsbruck
Kirchberg,Kirchberg in Tirol
Guter Hirte,Innsbruck
Innsbruck/Prutz,Prutz
Hl.Familie,Innsbruck
Kirche Hötting,Innsbruck
Pfarrkirche Hötting,Innsbruck
Pfk. Oberperfuu00df,Innsbruck
Friedhof Igls,Innsbruck
St. Anton am Arlberg / St. Christoph am Arlberg,St. Anton am Arlberg
Pfarrkirche Guter Hirte,Innsbruck
Tösens-Übersachsen,Tösens
Innsbruck - Ovacik/ Türkei,Innsbruck
Pf. Pradl,Innsbruck
Heim St. Josef am Inn,Innsbruck
Innsbruck - Mariahilf,Innsbruck
Stu00e4dtischer Westfriedhof - Wilten,Innsbruck
Pf. St. Paulus,Innsbruck
Stadt Friedhof Kufstein,Kufstein
Pians/Quadratsch,Pians
Natters / Friedhof Wilten,Natters
Hall i.Tirol/Schönegg,Hall in Tirol
Fließerau - Landeck,Landeck
Grins - Innsbruck,Grins
Fließ/Urgen,Fließ
Klosterfriedhof,Innsbruck
Kirchenfriedhof Wilten,Innsbruck
Neuapostolische Kirche,Innsbruck
Pfarrkirche Hl. Familie Wilten-West,Innsbruck
Obergurgl - Crkvena / Bosnien,Imst
Seefeld-Klosterneuburg,Seefeld in Tirol
Dorfplatz Aldrans,Aldrans
Alte Vu00f6lser Kirche,Innsbruck
PFK Ampass,Ampass
Feichten-Kaunertal,Kaunertal
Pfarrkirche St. Paulus,Innsbruck
Zirl - Kemah/Türkei,Zirl
Sädt. FH Igls,Innsbruck
Hötting-Leiblfing,Innsbruck
Pfarrkirche Lans,Lans
PFK Zum Guten Hirten,Innsbruck
Friedhofshalle Igls,Innsbruck
Prutz/Ried,Prutz
Absam und anschließend in Hall in Tirol,Hall in Tirol
Krypta der Jesuitenkirche in Innsbruck,Innsbruck
FH Wilten West,Innsbruck
PFK St. Pius X,Innsbruck
Pfarrkirche Zirl,Innsbruck
Oberpettnau,Pettnau
FH Untermieming,Mieming
Niederbreitenbach,Langkampfen
Wattens Laurentiuskirche,Wattens
Kramsach/Mariatal,Kramsach
FH Hötting städt.,Innsbruck
Schutzengelkirche/Neu-Pradl,Innsbruck
Wohnheim Kufstein/Zell,Kufstein
Innsbruck - Allerheilgen,Innsbruck
Herz-Jesu-Kirche,Innsbruck
PFK Serfaus,Serfaus
Innsbruck - Westfriedhof,Innsbruck
Petrus Canisius/ Innsbruck,Innsbruck
Innsbruck-Mühlau,Innsbruck
Pfarrkirche Mutters,Mutters
Kärnten,SKIP
Christuskirche (Saggen),Innsbruck
PFK St. Pirmin,Innsbruck
Wien,Schwaz
Kufstein - Kleinholz,Kufstein
FH Wattens,Wattens
FH Kitzbühel,Kitzbühel
Gasthof Post,Innsbruck
PFK Sellrain,Sellrain
Pfarrkirche Erl,Erl
Adventhaus Innsbruck,Innsbruck
PFK RUM St. Georg,Rum
Kapelle am Friedhof Süd in Wörgl,Wörgl
Axams / Neu-Rum,Rum
PFK Neu - Rum,Rum
Pfarrkirche Oberlangkampfen,Langkampfen
Pf. Arzl,Innsbruck
Götzens - St.Jakob/Def.,Götzens
Innsbruck Auferstehungskirche,Innsbruck
Christus Kirche,Innsbruck
Großmähring,SKIP
Breitenbach,Breitenbach am Inn
Zams/Falterschein,Zams
Liebfrauenkirche Saggen,Innsbruck
Axams - St. Nikolaus,Axams
Neuer Friedhof Ampass,Ampass
Kapelle WH St. Josef am Inn,Innsbruck
Aufbahrungskapelle am Friedhof Telfes,Telfes im Stubai
FH Thaur,Thaur
PFK Basilika Wilten,Innsbruck
Privatgrund,Imst
Inzing/ Kematen,Kematen in Tirol
Hauskapelle Hötting,Innsbruck
Ensegnungshalle des Pradler Friedhofs,Innsbruck
-,SKIP
Graz / St.Peter-Stadtfriedhof,Kufstein
Kufstein Kleinholzfriedhof,Kufstein
Stiftskirche Innsbruck,Innsbruck
Wollstädt,SKIP
Kleinholz Friedhof Kufstein,Kufstein
Zams - Landeck,Zams
Axams-Vill,Axams
Natters-Ellbögen,Natters
ALTE Höttinger Kirche,Innsbruck
Mils bei Hall in Tirol,Mils
Alter Militärfriedhof,Innsbruck
Alphotel,Innsbruck
Zirl / Zams,Zams
Zams-Zirl,Zams
Friedhof Hötting,Innsbruck
Martin-Luther-Platz,Innsbruck
der Pfarrkirche Prutz,Prutz
Unterperfuss / Innsbruck,Unterperfuss
FH Ampass,Ampass
Innsbruck Mariahilf,Innsbruck
Pfarrkirche Petrus-Canisius,Innsbruck
FH Axam,Innsbruck
Anatomisches Institut,Innsbruck
Arzl,Innsbruck
Mutters Waldfriedhof,Mutters
in der Kapelle am Friedhof Süd in Wörgl,Wörgl
St. Stefan im Lavanttal,Innsbruck
Landeck - Serfaus,Serfaus
Aldrans-Innsbruck,Innsbruck
Westfriedhof Innsbruck,Innsbruck
Telfes i. St.,Telfes im Stubai
Pfarrkirche Petrus Canisius,Innsbruck
Neuer Mühlauer Friedhof,Innsbruck
Fu00fcgen,Fügen
Thiersee/Landl,Thiersee
Kapuzinerkirche,Innsbruck
Pfarrkirche / Friedhof Igls,Innsbruck
Reith b. S.,Reith bei Seefeld
Starkenbach-Schönwies,Schönwies
Zellerbergfriedhof,Kufstein
Falterschein,Zams
Kommunalfriedhof Salzburg,Innsbruck
Pfarrkirche Pradl,Innsbruck
Pfarrkirche Völs,Völs
Zams - Rifenal,Zams
Pfarrkirche Ebbs,Ebbs
Friedhof Pradl Urnenbeisetzung,Innsbruck
Mariahilf Pfarrkirche,Innsbruck
Hötting,Innsbruck
Arzl Pfarrkirche,Innsbruck
Alter FH Hötting,Innsbruck
Pf. Heilige-Familie/Wilten-West,Innsbruck
Innsbruck-Westfriehof,Innsbruck
PFK Vill,Innsbruck
PFK Inzing,Innsbruck
Ebenthal/Kärnten,Innsbruck
FH Leutasch,Leutasch
Pfarrkirche Sistrans,Sistrans
Neu-Götzens,Götzens
Stams/Privatgrund,Imst
Einsegnungshalle des Städt. Westfriedhofs,Innsbruck
Mils Pfarrkirche,Mils
Innbruck-Allerheiligen,Innsbruck
FH unbekannt,Innsbruck
Tux-Lanersbach,Tux
Landl Thiersee,Thiersee
FH Telfes,Telfes im Stubai
Universitätskirche zum Hl. Johannes Nepomuk,Innsbruck
in aller Stille,Innsbruck
Einsegnungshalle des Wiltener Friedhofs,Innsbruck
Friedhof Zellerberg Kufstein,Kufstein
Hauskapelle des Wohnheims Unterperfuß,Unterperfuss
FH Rinn,Rinn
Mutters-Waldfriedhof,Mutters
FH Gurten,Innsbruck
Heilige Familie Wilten - West,Innsbruck
Evang. Christuskirche,Innsbruck
Pfarrkirche Zur Heiligen Familie Wilten West,Innsbruck
FH Absam,Absam
MilitärFH,Innsbruck
FH Oberperfuss,Innsbruck
Mösern,Innsbruck
FH Wilten Ibk.,Innsbruck
Schruns,Innsbruck
Theresienkirche Hungerburg,Innsbruck
Allerheiligen - Mariahilf,Innsbruck
Krypta Jesuitenkirche,Innsbruck
FH Hötting Pfarrkirche,Innsbruck
MÜhlau,Innsbruck
Jesuitenkirche,Innsbruck
Kapelle SOKO Rum,Rum
Alter MilitärFH,Innsbruck
FH Hötting Alt,Innsbruck
10. JAHRTAG,SKIP
Absam/Hall in Tirol,Hall in Tirol
Evang. Auferstehungskirche,Innsbruck
Maria am Gestade,Innsbruck
FH  St. Nikolaus,Innsbruck
Hall i.T.,Hall in Tirol
Friedhof Hötting Städtisch,Innsbruck
Pfarrkirche Aldrans,Innsbruck
Innsbruck-Allerheiligen,Innsbruck
St. Paulus - Pradl,Innsbruck
Pfarrkiche St. Paulus,Innsbruck
Pfarrkirche Mühlau,Innsbruck
FH Pfunds,Pfunds
Hötting Alt,Innsbruck
St.Margarethen,Buch in Tirol
evangelische Christuskirche,Innsbruck
Pfarrkirche Kematen,Kematen in Tirol
Petrus Canisius,Innsbruck
Arzl bei Innsbruck,Innsbruck
Kufstein Kleinholz,Kufstein
Dom St. Jakob,Innsbruck
Pfarrkirche Radfeld,Radfeld
Kirche Pradl anschl. Verabschiedung im MIlitärfriedhof Innsbruck,Innsbruck
Hall in Tirol Klosterkirche Thurnfeld,Hall in Tirol
Allerheiligen,Innsbruck
In aller Stille,Innsbruck
Pfarrkirche und Friedhof Mühlau,Innsbruck
FH Vill,Innsbruck
Pfarrfriedhof Hötting,Innsbruck
Wilten,Innsbruck
Christuskirche,Innsbruck
FH Götzens,Götzens
Einsegnungshalle des Friedhofs Pradl,Innsbruck
FH Hatting,Hatting
St. Paulus,Innsbruck
Einsegnungshalle des Städtischen Westfriedhofes,Innsbruck
Stiftskirche Innsbruck-Wilten,Innsbruck
Fh Aldrans,Innsbruck
Hauskapelle des Wohnheimes Olympisches Dorf,Innsbruck
Einsegnungshalle des Wiltener Friedhofes,Innsbruck
Vodlers,Volders
unbekannt,Innsbruck
FH Reith b. Seefeld,Reith bei Seefeld
Pfarrkirche Kranebitten,Innsbruck
FH Aldrans,Innsbruck
FH Stubaital,Innsbruck
Einsegnungshalle am Städt. Westfriedhof,Innsbruck
Kufstein/Stadtfriedhof,Kufstein
Kufstein/Kleinholz,Kufstein
Belgrad,Innsbruck
FH Matrei,Innsbruck
FH Hötting städtisch,Innsbruck
Perchtoldsdorf,Kufstein
FH Buch bei Jenbach,Jenbach
Pf Maria am Gestade,Innsbruck
Schutzentelkirche,Innsbruck
FH Breitenwang,Breitenwang
FH Brixen im Thale,Brixen im Thale
1. Jahrestag,Innsbruck
FH Zirl,Zirl
FH Höttig,Innsbruck
FH in Arco,Innsbruck
PF Neu-Pradl,Innsbruck
Basilia Wilten,Innsbruck
Friedhof Amras,Innsbruck
FH Pradl musl. Teil,Innsbruck
FH Hötting alt,Innsbruck
Pf. St. Pius X,Innsbruck
Niederaudorf,Kufstein
FH Mieders,Innsbruck
Neuer FH Ampass,Innsbruck
Bregenz FH Mariahilf,Innsbruck
Pf. Dreiheiligen,Innsbruck
Pfarrzentrum Endach/Kufstein,Kufstein
FH Basilika Wilten,Innsbruck
FH Nauders,Nauders
FH Natters,Natters
Fh Hötting,Innsbruck
Friedhof Hötting Alt,Innsbruck
Bruneck,Innsbruck
FH  Mühlau,Innsbruck
Kufstein/ Stadtfriedhof,Kufstein
FH Purkersdorf,Innsbruck
Wien Zentralfriedhof,Kufstein
Fh Pradl,Innsbruck
Großgmain Salzburg,Kufstein
West FH,Innsbruck
Klosterfriedof,Innsbruck
FH Neustift,Innsbruck
FH Wien,Innsbruck
Klosterneuburg,Innsbruck
FH Innsbruck- Arzl,Innsbruck
FH Brennberg,Innsbruck
West,Innsbruck
Kufstein Stadtfriedhf,Kufstein
FH Fulpmes,Fulpmes
Bad Goisern,Innsbruck
FH Fritzens,Fritzens
FH-West,Innsbruck
Althausen Gertraud,Kufstein
Auferstehungskirche,Innsbruck
Abschied FH Pradl,Innsbruck
Militärfriedhof,Innsbruck
Abschied St. Nikolaus,Innsbruck
FH Jenbach,Jenbach
Mühlau Kirchenfriedhof,Innsbruck
FH  Pradl,Innsbruck
FH West Abschied,Innsbruck
Städt. West-FH,Innsbruck
Alten Höttinger FH,Innsbruck
FH St. Johann,St. Johann in Tirol
PF Pradl,Innsbruck
Bergfriedhof Kiefersfelden,Kufstein
Westfriedhof München,Kufstein
Amras,Innsbruck
Städtischer West FH,Innsbruck
Friedhof Niederndorf,Niederndorf
Friedhof Erl,Erl
Friedhof Innsbruck,Kufstein
Iasi Rumänien,Innsbruck
Militär FH,Innsbruck
PF Allerheiligen,Innsbruck
PF Hötting,Innsbruck
Kleinholzfriedhof Kufstein/Zell,Kufstein
Abschied Kirche Hall,Innsbruck
Friedhof Arzl,Innsbruck
Abschied Maria am Gestade,Innsbruck
Abschied Karlskriche Volders,Innsbruck
Städt.West. FH,Innsbruck
Pfarrkirche,Innsbruck
Innsbruck-Stadt,Innsbruck
Innsbruck-Land,Innsbruck
Landeck - Stanz,Stanz bei Landeck
Zams - Piller,Zams
Landeck - Fließerau,Fließ
Landeck - Grins,Grins
St. Anton,St. Anton am Arlberg
Zams-Bludenz,Zams
Strengen - Australien,Strengen
Prutz-Faggen,Prutz
Landeck-Grins,Grins
Kufstein - Zams,Zams
Fließ - Eichholz,Fließ
Stanz - Gallneukirchen bei Linz,Stanz bei Landeck
Grins - Klagenfurt,Grins
Zams - See,Zams
Feichten-Unterhäuser,Kaunertal
Gurnau - Landeck,Grins
St. Anton am Arlberg / Thörl-Steiermark,St. Anton am Arlberg
Zams - Wien,Zams
Landeck - Graf,Grins
Landeck - St. Anton am Arlberg,St. Anton am Arlberg
Feichten/Kaunertal,Kaunertal
Pfunds - Tösens,Pfunds
Fließerau,Fließ
Landeck-Zams,Zams
Landeck-Wien,Landeck
Schönegg-Tösens,Tösens
Landeck-Graf,Grins
Kaunertal - Feichten,Kaunertal
See-Feichten,Kaunertal
Compatsch - Samnaun,Spiss
St. Jakob am Arlberg / Innsbruck,St. Anton am Arlberg
Nauders - Linz,Nauders
Starkenbach-Landeck,Schönwies
Zams/Volders,Zams
Hausen vor der Höhe / D - Nauders,Nauders
Landeck-Rum,Landeck
Kaltenbrunn-Vergötschen,Kaunertal
Landeck-Perfuchsberg,Landeck
Klösterle-Grins,Grins
Obsaurs,Schönwies
